edit_id,dataset,executor,input_id,metric,distance,flip
A1,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
A2,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
A3,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
A4,DBPedia,gemini-2.5-pro,,flip_rate,0.0714285714285714,True
A5,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
B1,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
B2,DBPedia,gemini-2.5-pro,,flip_rate,0.1428571428571428,True
B3,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
B4,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
B5,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
B6,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
B7,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
C1,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
C2,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
C3,DBPedia,gemini-2.5-pro,,flip_rate,0.1071428571428571,True
C4,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
C5,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
C6,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
D1,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
D2,DBPedia,gemini-2.5-pro,,flip_rate,0.0357142857142857,True
D3,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
D4,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
E1-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
E2-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
E3-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0357142857142857,True
E4-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
E5-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
E6-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
E7-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
E8-r,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
F1,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
F2,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
F3,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
F4,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
G-X4,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
G-X5,DBPedia,gemini-2.5-pro,,flip_rate,0.1071428571428571,True
G-X7,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
G-X9,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
G-G1,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
G-C2,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
G-C3,DBPedia,gemini-2.5-pro,,flip_rate,0.0,False
A1,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0714285714285714,True
A2,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0714285714285714,True
A3,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0714285714285714,True
A4,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0714285714285714,True
A5,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0714285714285714,True
B1,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
B2,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0,False
B3,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
B4,DBPedia,gemini-2.5-flash-lite,,flip_rate,0.0357142857142857,True
