dataset,model,noise_flip_rate_all,noise_flip_rate_stable,noise_delta_F1_max,noise_delta_F1_std,noise_bertscore_drift_all,noise_bertscore_drift_stable,n_samples,n_stable_samples,patch_threshold_flip,major_threshold_flip,patch_threshold_dF1,major_threshold_dF1
DBPedia,gemini-2.5-flash,0.022167487684729065,0.0,0.03809523809523807,0.018981823966569125,,,28,27,0.0,0.0,0.018981823966569125,0.03796364793313825
DBPedia,gemini-2.5-flash-lite,0.03694581280788178,0.002652519893899204,0.10952380952380958,0.026540306807238838,,,28,26,0.002652519893899204,0.005305039787798408,0.026540306807238838,0.053080613614477676
DBPedia,gemini-2.5-pro,0.0,0.0,0.2238095238095239,0.06748111045311855,,,28,28,0.0,0.0,0.06748111045311855,0.1349622209062371
DBPedia,llama-3.1-8b-instant,0.1416256157635468,0.009074410163339383,0.20714285714285718,0.06034516919167246,,,28,19,0.009074410163339383,0.018148820326678767,0.06034516919167246,0.12069033838334492
MeetingBank,gemini-2.5-flash,,,,,0.07155930995941162,0.07155930995941162,100,3,,,0.07155930995941162,0.14311861991882324
MeetingBank,gemini-2.5-flash-lite,,,,,,,92,0,,,,
MeetingBank,gemini-2.5-pro,,,,,,,97,0,,,,
MeetingBank,llama-3.1-8b-instant,,,,,0.9269242158534835,,100,0,,,,
TREC,gemini-2.5-flash,0.08160919540229884,0.003284072249589491,0.1544612794612794,0.03281159612090467,,,30,21,0.003284072249589491,0.006568144499178982,0.03281159612090467,0.06562319224180933
TREC,gemini-2.5-flash-lite,0.26091954022988506,0.010610079575596816,0.2909265452743713,0.06785554667168149,,,30,13,0.010610079575596816,0.021220159151193633,0.06785554667168149,0.13571109334336298
TREC,gemini-2.5-pro,0.029885057471264367,0.002652519893899204,0.11557239057239066,0.02428054231070111,,,30,26,0.002652519893899204,0.005305039787798408,0.02428054231070111,0.04856108462140222
TREC,llama-3.1-8b-instant,0.32988505747126434,0.034482758620689655,0.5193602693602692,0.1411027632036371,,,30,2,0.034482758620689655,0.06896551724137931,0.1411027632036371,0.2822055264072742
