dataset,model,sample_id,S,stable_at_0.05,stable_at_0.10,stable_at_0.15,stable_at_0.20,n_variants_used
DBPedia,gemini-2.5-flash,1383,0.25501972217760543,0,0,0,0,30
DBPedia,gemini-2.5-flash,1881,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,5343,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,6989,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,10934,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,11385,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,16379,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,17620,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,22739,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,23680,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,25118,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,29168,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,32285,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,34251,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,37609,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,39592,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,40876,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,44682,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,46518,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,49156,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,54738,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,54759,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,56383,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,58716,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,64297,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,64705,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,65619,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash,66570,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,1383,0.09280966504442822,0,1,1,1,30
DBPedia,gemini-2.5-flash-lite,1881,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,5343,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,6989,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,10934,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,11385,0.23147064491545163,0,0,0,0,30
DBPedia,gemini-2.5-flash-lite,16379,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,17620,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,22739,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,23680,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,25118,0.2058586508297276,0,0,0,0,30
DBPedia,gemini-2.5-flash-lite,29168,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,32285,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,34251,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,37609,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,39592,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,40876,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,44682,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,46518,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,49156,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,54738,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,54759,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,56383,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,58716,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,64297,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,64705,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,65619,0.0,1,1,1,1,30
DBPedia,gemini-2.5-flash-lite,66570,0.0,1,1,1,1,30
DBPedia,gemini-2.5-pro,1383,0.0,1,1,1,1,11
DBPedia,gemini-2.5-pro,1881,0.0,1,1,1,1,11
DBPedia,gemini-2.5-pro,5343,0.0,1,1,1,1,11
