edit_id,dataset,executor,empirical_label,majority_label
A1,DBPedia,gemini-2.5-pro,PATCH,MINOR
A2,DBPedia,gemini-2.5-pro,PATCH,MINOR
A3,DBPedia,gemini-2.5-pro,PATCH,MINOR
A4,DBPedia,gemini-2.5-pro,MAJOR,MAJOR
A5,DBPedia,gemini-2.5-pro,PATCH,PATCH
B1,DBPedia,gemini-2.5-pro,PATCH,PATCH
B2,DBPedia,gemini-2.5-pro,MAJOR,MAJOR
B3,DBPedia,gemini-2.5-pro,PATCH,MAJOR
B4,DBPedia,gemini-2.5-pro,PATCH,MINOR
B5,DBPedia,gemini-2.5-pro,PATCH,MINOR
B6,DBPedia,gemini-2.5-pro,PATCH,PATCH
B7,DBPedia,gemini-2.5-pro,PATCH,MINOR
C1,DBPedia,gemini-2.5-pro,PATCH,PATCH
C2,DBPedia,gemini-2.5-pro,PATCH,PATCH
C3,DBPedia,gemini-2.5-pro,MAJOR,MAJOR
C4,DBPedia,gemini-2.5-pro,PATCH,PATCH
C5,DBPedia,gemini-2.5-pro,PATCH,PATCH
C6,DBPedia,gemini-2.5-pro,PATCH,PATCH
D1,DBPedia,gemini-2.5-pro,MAJOR,MAJOR
D2,DBPedia,gemini-2.5-pro,MAJOR,MAJOR
D3,DBPedia,gemini-2.5-pro,PATCH,MAJOR
D4,DBPedia,gemini-2.5-pro,MAJOR,MAJOR
E1-r,DBPedia,gemini-2.5-pro,PATCH,PATCH
E2-r,DBPedia,gemini-2.5-pro,PATCH,PATCH
E3-r,DBPedia,gemini-2.5-pro,PATCH,PATCH
E4-r,DBPedia,gemini-2.5-pro,PATCH,PATCH
E5-r,DBPedia,gemini-2.5-pro,PATCH,PATCH
E6-r,DBPedia,gemini-2.5-pro,PATCH,PATCH
E7-r,DBPedia,gemini-2.5-pro,PATCH,PATCH
E8-r,DBPedia,gemini-2.5-pro,PATCH,PATCH
F1,DBPedia,gemini-2.5-pro,PATCH,MAJOR
F2,DBPedia,gemini-2.5-pro,PATCH,PATCH
F3,DBPedia,gemini-2.5-pro,PATCH,PATCH
F4,DBPedia,gemini-2.5-pro,PATCH,PATCH
G-X4,DBPedia,gemini-2.5-pro,PATCH,MAJOR
G-X5,DBPedia,gemini-2.5-pro,MAJOR,MAJOR
G-X7,DBPedia,gemini-2.5-pro,PATCH,MAJOR
G-X9,DBPedia,gemini-2.5-pro,MAJOR,MAJOR
G-G1,DBPedia,gemini-2.5-pro,PATCH,MAJOR
G-C2,DBPedia,gemini-2.5-pro,PATCH,MINOR
G-C3,DBPedia,gemini-2.5-pro,MAJOR,MAJOR
A1,DBPedia,gemini-2.5-flash-lite,PATCH,MINOR
A2,DBPedia,gemini-2.5-flash-lite,PATCH,MINOR
A3,DBPedia,gemini-2.5-flash-lite,PATCH,MINOR
A4,DBPedia,gemini-2.5-flash-lite,MAJOR,MAJOR
A5,DBPedia,gemini-2.5-flash-lite,PATCH,MINOR
B1,DBPedia,gemini-2.5-flash-lite,PATCH,PATCH
B2,DBPedia,gemini-2.5-flash-lite,PATCH,MAJOR
B3,DBPedia,gemini-2.5-flash-lite,PATCH,MINOR
B4,DBPedia,gemini-2.5-flash-lite,PATCH,MINOR
